TIPO,VETA_POLIG,Toneladas,Ag (g/t),Au (g/t),Pot .(m),LEY AG-EQ,ONZAS,VPT AG,VPT AU,VLP,COSTO TOTAL,INGRESO,COSTO,MARGEN ANTES AVANCE,PU METRAJE,METROS POSIBLES,FR,DIL,Ton Dil,Ag Dil,Au Dil,VLP Dil,Pot Dil,Ag-eq Dil,Oz ag-eq dil,Ingreso Dil,Costo Dil,Margen Dil sin avance,Metros posibles Final,t dil * ag dil,t dil * au dil,t dil * pot dil,t dil * vlp dil,t dil * ag-eq dil,t dil * dil,t dil * fact recup,P-COD EVAL,P-COND-AG27-AU1800,PLAN,PRIORIDAD,PLAN_F
M+I,CimoidePNM9131 A,"7,219",420.63,1.94,1.54,587.34,136318,0.70807212,47.5981361,390.1047211,123.8,2816136.31,893702.7836,1922433.526,2200,874,0.4,0.156,3338.384928,363.8303774,1.676680159,337.4249968,1.777063032,508.024871,54527.0652,1126454.524,413292.0541,713162.4697,324.164759,1214605.848,5597.403772,5131.393146,1126454.524,1695982.573,521.197893,1335.353971,-,-,PLAN 3,3,-
M+I,CinthiaPNM2040 A,295,280.92,1.57,0.80,415.82,3942,0.70807212,47.5981361,273.5718264,123.8,80665.94801,36503.92108,44162.02692,2200,20,0.4,0.299,153.1563989,216.3359466,1.207916184,210.6760111,1.04333592,320.2167384,1576.775685,32266.3792,18960.76219,13305.61702,6.048007735,33133.23453,185.0000929,123.0560649,32266.3792,49043.24252,45.72374676,61.26255957,-,-,PLAN 3,209,-
M+I,CinthiaPNM2042 A,"1,346",291.90,2.31,0.90,490.27,21219,0.70807212,47.5981361,316.4771765,123.8,426039.6178,166658.7944,259380.8234,2200,118,0.4,0.267,682.3367795,230.3540532,1.820365291,249.7532776,1.138340588,386.9054683,8487.785336,170415.8471,84473.29331,85942.5538,39.06479718,157179.0428,1242.10219,612.9708241,170415.8471,263999.8312,182.2925839,272.9347118,-,-,PLAN 3,90,-
M+I,CristinaPNM9333 A,202,321.53,1.53,0.88,453.53,2939,0.70807212,47.5981361,300.7235545,123.8,60616.80919,24954.35048,35662.45871,2200,16,0.4,0.273,102.6087154,252.6506974,1.206094606,236.30277,1.120347317,356.3748335,1175.660741,24246.72368,12702.95897,11543.76471,5.247165777,25924.1635,123.7558182,90.33130728,24246.72368,36567.16387,27.97315472,41.04348616,-,-,PLAN 3,259,-
M+I,DianaPNM8901 A,"2,002",234.47,0.86,1.43,308.26,19846,0.70807212,47.5981361,206.860025,123.8,414235.1263,247908.2589,166326.8674,2200,76,0.4,0.726,1382.708351,135.8282392,0.497010687,119.8329716,2.460155979,178.5711583,7938.393811,165694.0505,171179.2939,-5485.243326,-2.493292421,187810.8407,687.2208278,1970.575074,165694.0505,246911.8319,1004.172992,553.0833404,0,-,PLAN 3,376,-
M+I,DianaPNM8902 A,862,182.75,0.76,1.93,247.84,6870,0.70807212,47.5981361,165.4243297,123.8,142622.953,106735.9415,35887.01146,2200,16,0.4,0.688,582.2827769,108.23478,0.448274167,97.97504489,3.261922779,146.7863584,2747.959823,57049.1812,72086.60777,-15037.42657,-6.835193896,63023.24823,261.022327,1124.925361,57049.1812,85471.16836,400.8628614,232.9131107,0,-,PLAN 3,403,-
M+I,DianaPNM8902 B,"1,516",232.79,0.70,1.10,292.85,14270,0.70807212,47.5981361,198.0747331,123.8,300195.2708,187627.0332,112568.2376,2200,51,0.4,1.257,1367.955094,103.1629515,0.309517722,87.77927639,2.478280972,129.7814756,5707.885951,120078.1083,169352.8407,-49274.73237,-22.39760562,141122.2851,423.4063439,1502.399051,120078.1083,177535.2307,1718.847979,547.1820377,0,-,PLAN 3,434,-
M+I,DianaPNM8902 C,921,373.77,1.66,1.63,516.78,15299,0.70807212,47.5981361,343.8101257,123.8,316576.0181,113993.4752,202582.5429,2200,92,0.4,0.818,669.5371897,205.6149232,0.914763928,189.1312525,2.956237381,284.2846211,6119.540446,126630.4072,82888.70408,43741.70316,19.88259235,137666.8379,612.4684696,1088.826406,126630.4072,190339.1263,547.57348,267.8148759,0,-,PLAN 3,160,-
M+I,DianaPNM8902 D,"1,672",249.37,1.22,2.04,354.16,19038,0.70807212,47.5981361,234.5696519,123.8,392204.7916,206995.8871,185208.9044,2200,84,0.4,0.653,1105.71545,150.8342882,0.737028162,141.8827209,3.365929088,214.2187102,7615.378897,156881.9166,136887.5727,19994.34392,9.088338144,166779.8029,814.9434258,2251.158247,156881.9166,236864.9375,722.3245434,442.28618,0,-,PLAN 3,223,-
M+I,DianaPNM8902 E,664,201.55,0.92,1.07,280.87,5992,0.70807212,47.5981361,186.610533,123.8,123824.0438,82146.57753,41677.46625,2200,19,0.4,1.241,594.6974275,89.95244723,0.411625097,83.28540737,2.402048943,125.3522056,2396.728156,49529.61751,73623.54152,-24093.92401,-10.95178364,53494.48896,244.7923864,637.5447488,49529.61751,74546.6342,737.790549,237.878971,0,-,PLAN 3,419,-
M+I,KarenPNM1800 A,"2,856",372.47,1.16,1.19,472.52,43389,0.70807212,47.5981361,319.1115848,123.8,911395.2967,353577.6923,557817.6044,2200,254,0.4,1.115,2416.413439,176.0955583,0.550002389,150.8674438,2.510137528,223.3957638,17355.49137,364558.1187,299151.9838,65406.13493,29.73006133,425519.6737,1329.033164,2867.62079,364558.1187,539816.5258,2694.732496,966.5653756,-,-,PLAN 3,113,-
M+I,LuisaPNM1837 A,"1,085",229.93,0.78,1.87,297.07,10365,0.70807212,47.5981361,199.9670984,123.8,217010.1959,134351.4131,82658.78275,2200,38,0.4,0.566,679.6116603,146.8612309,0.498709783,127.7259992,2.927041465,189.7502722,4146.044579,86804.07836,84135.92354,2668.154812,1.212797642,99808.60497,338.9289836,1270.604708,86804.07836,128956.4976,384.3844926,271.8446641,-,-,PLAN 3,329,-
M+I,LuisaPNM1837 B,351,289.36,1.12,0.96,385.78,4353,0.70807212,47.5981361,258.2509296,123.8,90634.18527,43448.09971,47186.08557,2200,21,0.4,1.985,419.103031,96.92236426,0.375539645,86.50301103,2.87695921,129.2187737,1741.153881,36253.67411,51884.95524,-15631.28113,-7.105127784,40620.45663,157.3898035,403.872086,36253.67411,54155.97973,832.1106094,167.6412124,-,-,PLAN 3,407,-
M+I,LuisaPNM1837 C,245,491.87,1.59,1.50,628.27,4940,0.70807212,47.5981361,423.7716415,123.8,103636.7771,30276.28976,73360.48738,2200,33,0.4,0.866,182.5289451,263.6071634,0.85003742,227.1130797,2.796050383,336.7103815,1975.963822,41454.71086,22597.0834,18857.62745,8.571648842,48115.93745,155.1564336,273.5186803,41454.71086,61459.39074,158.0528954,73.01157804,-,-,PLAN 3,232,-
M+I,LuisaPNM1837 D,768,766.57,2.37,1.91,970.25,23956,0.70807212,47.5981361,655.5169755,123.8,503418.5786,95074.91393,408343.6646,2200,186,0.4,0.641,504.2065238,467.0343015,1.442933289,399.3749028,3.132153911,591.1265643,9582.518691,201367.4314,62420.76765,138946.6638,63.15757445,235481.7416,727.5363777,962.1624024,201367.4314,298049.8701,323.3766148,201.6826095,-,-,PLAN 3,52,3
